year,rwi,rwi_lag1,rwi_lag2,rwi_diff1,rwi_smooth5
1896,1.0469081678320864,1.1505447816984042,1.2716153170692808,-0.10363661386631784,1.109983894828637
1897,1.1656785394434697,1.0469081678320864,1.1505447816984042,0.11877037161138326,0.9799888396958505
1898,0.9151726680999428,1.1656785394434697,1.0469081678320864,-0.25050587134352686,0.9527455350129778
1899,0.6216400414053495,0.9151726680999428,1.1656785394434697,-0.29353262669459335,0.9072713553157434
1900,1.0143282582840403,0.6216400414053495,0.9151726680999428,0.3926882168786908,0.8092522212145008
1901,0.8195372693459153,1.0143282582840403,0.6216400414053495,-0.19479098893812496,0.7889313457481598
1902,0.675582868937256,0.8195372693459153,1.0143282582840403,-0.14395440040865926,0.7894338569603828
1903,0.8135682907682377,0.675582868937256,0.8195372693459153,0.1379854218309816,0.7124939793617663
1904,0.6241525974664651,0.8135682907682377,0.675582868937256,-0.18941569330177255,0.7142257348383445
1905,0.6296288702909572,0.6241525974664651,0.8135682907682377,0.0054762728244920345,0.6953108777449145
